Year,Month,Day,PLC_LTTD,PLC_LGTD
2024,5,27,36.3584593,127.3284702
2024,4,9,36.4023514,127.4049624
2024,4,9,36.3837508,127.4057375
2024,4,1,36.4022822,127.4049634
2024,4,1,36.402017,127.4049643
2024,3,29,36.4266291,127.3902812
2024,3,29,36.4029268,127.4049911
2024,3,29,36.4027533,127.4049766
2024,3,28,36.3875609,127.4126874
2024,3,28,36.4242042,127.4195913
2024,3,28,36.3782141,127.4117965
2024,3,27,36.3453794,127.3104462
2024,3,26,36.3696129,127.3177991
2024,3,26,36.3544711,127.349895
2024,3,26,36.3506871,127.3512544
2024,3,26,36.3505692,127.3520311
2024,3,8,36.358436,127.3348513
2024,3,6,36.361,127.3585
2024,2,28,36.384061,127.4056165
2024,2,28,36.3798687,127.4064632
2024,2,28,36.379809,127.4064281
2024,2,28,36.3784085,127.4056056
2024,2,28,36.3784085,127.4056056
2024,2,28,36.3745471,127.3941237
2024,2,27,36.3524464,127.3408463
2024,2,27,36.3620423,127.3457862
2024,2,26,36.3613952,127.358222
2024,2,26,36.361094,127.358478
2024,2,26,36.361094,127.358478
2024,2,26,36.3604848,127.3588611
2024,2,26,36.3518596,127.3311146
2024,2,26,36.3547853,127.3459129
2024,2,26,36.356549,127.3488122
2024,2,23,36.3696516,127.3269237
2024,2,23,36.387027,127.3163845
2024,2,23,36.3667043,127.3319021
2024,2,23,36.3606478,127.3539029
2024,2,23,36.3606478,127.3539029
2024,2,22,36.3742856,127.3911391
2024,2,22,36.3742856,127.3911391
2024,2,14,36.3881894,127.3332669
2024,2,14,36.3927643,127.3259789
2024,2,14,36.3910328,127.3369848
2024,2,14,36.3941172,127.3446528
2024,2,14,36.3955778,127.3485208
2024,2,14,36.3955099,127.3485887
2024,2,14,36.3954492,127.3486499
2024,2,14,36.3953998,127.3486909
2024,7,3,36.3909688,127.4078729
2024,3,27,36.3792173,127.3914606
2024,3,27,36.3792141,127.3915638
2024,3,27,36.3792151,127.4059778
2024,3,27,36.3793187,127.4060377
2024,3,27,36.4196381,127.4062224
2024,3,27,36.4197228,127.4061367
2024,3,27,36.418896,127.4068522
2024,3,27,36.4154218,127.4069884
2024,3,27,36.4152964,127.4069839
2024,3,27,36.4151682,127.4069794
2024,3,27,36.3857,127.3740912
2024,3,27,36.3911208,127.3943992
2024,3,27,36.3925597,127.3577184
2024,3,25,36.3899565,127.3234034
2024,3,25,36.395202,127.356339
2024,3,25,36.3911762,127.3619431
2024,3,25,36.3894721,127.3626184
2024,3,25,36.3873068,127.3630088
2024,3,25,36.3893356,127.3470274
2024,3,25,36.3901065,127.3990975
2024,3,23,36.3930189,127.3573133
2024,3,23,36.3858781,127.3635219
2024,3,23,36.3910911,127.3947548
2024,3,23,36.391057,127.3950194
2024,3,23,36.3900728,127.3987461
2024,3,23,36.3995845,127.4045237
2024,3,23,36.399643,127.4015971
2024,3,23,36.3996525,127.3987856
2024,3,23,36.3997696,127.3979761
2024,3,22,36.387108,127.3505024
2024,3,22,36.3857303,127.3558174
2024,3,22,36.4208759,127.4039766
2024,3,22,36.4214704,127.4026629
2024,3,22,36.4249112,127.3926129
2024,3,20,36.3922475,127.3587365
2024,3,20,36.3922296,127.3588506
2024,3,20,36.3910881,127.3948549
2024,3,20,36.3848429,127.3510374
2024,3,20,36.3848228,127.3509067
2024,3,20,36.3909886,127.3306357
2024,3,20,36.3910012,127.3305439
2024,3,19,36.3936771,127.3526641
2024,3,19,36.3921808,127.3594782
2024,3,19,36.3855304,127.3726614
2024,3,19,36.3856633,127.3736714
2024,3,19,36.3858314,127.3784389
2024,3,19,36.3911186,127.3948176
2024,3,19,36.3911023,127.3949389
2024,3,19,36.3964324,127.3993717
2024,3,19,36.3964326,127.3994382
2024,3,19,36.3964315,127.4001718
