월,도로,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,총교통량
2024년 05월,대덕대로,558,377,295,287,352,700,"1,445","2,401","2,726","2,580","2,317","2,405","2,326","2,487","2,560","2,729","3,008","3,262","2,950","2,188","1,956","1,625","1,249",782,43565
2024년 05월,도안대로,647,447,338,262,283,372,759,"1,637","1,902","1,727","1,399","1,287","1,226","1,275","1,309","1,385","1,748","1,988","1,500","1,433","1,665","1,498","1,194",876,28157
2024년 05월,도안동로,492,372,291,244,322,639,"1,401","2,343","2,534","2,154","1,882","1,797","1,790","1,927","2,003","2,156","2,321","2,320","2,276","1,708","1,479","1,323","1,003",681,35458
2024년 05월,도안중로,176,132,116,105,121,204,501,982,"1,188",998,933,951,"1,001","1,109","1,116","1,201","1,402","1,435","1,492","1,026",747,622,440,269,18267
2024년 05월,둔산대로,424,277,217,206,305,790,"1,749","2,913","3,602","3,395","3,169","3,054","3,020","3,261","3,373","3,421","3,773","3,793","3,660","2,554","2,058","1,831","1,249",724,52818
2024년 05월,버드내길,530,343,277,307,470,"1,055","1,902","2,811","3,045","2,974","2,877","2,750","2,700","2,876","2,941","2,927","3,127","2,965","2,785","2,172","1,907","1,665","1,287",829,47522
2024년 05월,신갈마로,305,237,198,164,208,335,571,985,"1,123","1,023",964,914,940,951,911,951,"1,062","1,135","1,171",989,832,724,545,384,17622
2024년 05월,신탄진로,330,236,187,213,351,710,"1,325","2,183","2,366","1,915","1,831","1,820","1,821","1,976","2,027","2,109","2,233","2,525","2,235","1,441","1,128",925,716,522,33125
2024년 05월,엑스포로,324,212,158,135,168,401,746,"1,336","1,746","1,749","1,653","1,869","1,916","2,057","2,098","2,146","2,226","2,295","2,163","1,675","1,622","1,117",806,489,31107
2024년 05월,유성대로,411,286,220,208,248,539,"1,102","1,895","2,268","2,092","1,841","1,878","1,907","2,039","1,979","2,086","2,330","2,573","2,228","1,660","1,405","1,234",892,584,33905
2024년 05월,한밭대로,997,700,530,483,615,"1,303","2,484","4,081","4,631","4,655","4,573","4,549","4,411","4,717","4,710","4,815","5,022","5,171","4,888","3,730","3,203","2,857","2,195","1,418",76738
2024년 05월,현충원로,269,190,157,167,232,669,"1,349","2,570","2,909","2,574","2,530","2,761","2,818","2,822","2,886","2,959","3,157","3,189","3,033","2,048","1,591","1,186",756,433,43255
2024년 05월,구즉세종로,371,233,189,252,361,874,"1,866","2,862","2,972","2,358","2,109","1,933","1,866","2,058","2,129","2,359","2,910","3,597","3,040","1,954","1,594","1,303",954,568,40712
2024년 05월,북유성대로,988,656,475,407,546,"1,306","2,566","4,224","4,308","4,387","4,127","4,055","4,009","4,193","4,222","4,351","4,727","4,875","4,497","3,511","3,200","2,919","2,288","1,450",72287
2024년 05월,월드컵대로,190,164,134,127,157,497,"1,078","1,802","1,979","1,754","1,436","1,378","1,315","1,387","1,433","1,584","1,880","2,028","2,069","1,416",750,512,391,253,25714
2024년 05월,동부순환도로,84,69,63,66,81,182,372,612,817,602,558,552,563,572,569,616,697,812,759,402,272,228,159,107,9814
2024년 05월,한밭도서관길,123,88,78,77,128,293,561,955,"1,272","1,034",976,965,965,"1,057","1,101","1,130","1,205","1,311","1,237",760,574,488,382,237,16997
2024년 05월,갑천도시고속도로,842,545,420,539,751,"1,666","3,459","5,951","6,429","5,369","4,790","4,536","4,404","4,936","4,983","5,225","5,811","6,484","6,007","4,063","3,286","2,649","1,920","1,292",86357
2024년 05월,대둔산길(1),81,69,69,85,150,337,635,"1,005","1,002",967,"1,051","1,011",943,"1,033","1,071","1,047","1,044","1,046",847,563,416,267,171,106,15016
2024년 05월,대학로(1),204,148,112,95,103,230,485,"1,086","1,673","1,391","1,174","1,244","1,248","1,299","1,233","1,257","1,404","1,516","1,503",984,744,601,449,298,20481
2024년 05월,배울1로,157,117,97,102,112,188,362,933,"1,184",801,674,678,699,735,738,795,907,"1,084","1,095",634,500,437,334,231,13594
2024년 05월,동서대로2,523,363,293,241,323,647,"1,245","1,970","2,680","2,433","2,212","2,139","2,080","2,218","2,250","2,409","2,699","2,863","2,800","2,052","1,878","1,580","1,158",731,39787
2024년 06월,가장로,489,361,272,233,312,599,"1,152","1,553","1,813","1,795","1,854","1,848","1,788","1,877","1,849","1,950","2,052","2,137","1,952","1,584","1,430","1,249",977,689,31815
2024년 06월,가정로,195,138,138,155,149,268,662,"1,411","2,219","1,823","1,255","1,526","1,540","1,438","1,320","1,460","1,777","2,201","1,936","1,223",898,717,486,285,25220
2024년 06월,계룡로,910,651,489,396,458,950,"1,714","2,628","3,199","3,186","3,181","3,215","3,158","3,359","3,356","3,385","3,508","3,621","3,539","2,863","2,662","2,388","1,928","1,247",55991
2024년 06월,계백로,868,573,418,362,422,950,"1,768","2,262","2,811","2,946","2,975","3,017","3,009","3,102","3,097","3,169","3,443","3,619","3,382","2,741","2,388","2,144","1,665","1,199",52330
2024년 06월,계족로,479,331,234,244,389,739,"1,279","1,799","2,005","1,886","1,902","1,875","1,897","1,929","1,978","2,030","2,135","2,161","1,984","1,520","1,394","1,198",938,665,32991
2024년 06월,구봉로,122,105,108,93,106,149,264,514,649,552,538,557,558,558,594,620,671,705,741,480,380,316,224,155,9759
2024년 06월,노은길,199,144,112,99,112,155,284,735,921,845,790,877,923,937,925,966,"1,080","1,255","1,338",905,728,615,453,285,15683
2024년 06월,노은로,196,133,104,102,142,348,823,"1,813","2,109","1,794","1,450","1,448","1,478","1,608","1,629","1,740","2,111","2,452","2,214","1,406","1,072",861,565,301,27899
2024년 06월,대전로,490,283,230,247,301,629,"1,072","1,394","1,557","1,645","1,695","1,649","1,625","1,719","1,757","1,747","1,801","1,768","1,630","1,368","1,268","1,219",997,731,28822
2024년 06월,대종로,372,268,217,197,236,503,786,"1,143","1,418","1,434","1,458","1,530","1,576","1,702","1,737","1,727","1,804","1,841","1,772","1,275","1,079",943,743,493,26254
2024년 06월,대청길,99,74,62,58,73,164,311,544,587,567,622,696,744,774,752,747,773,775,729,552,464,354,230,143,10894
2024년 06월,동서로,696,505,412,359,461,966,"1,662","2,305","2,779","2,692","2,780","2,749","2,790","2,839","2,895","2,934","3,015","3,045","2,901","2,384","2,241","1,977","1,526","1,022",47935
2024년 06월,문지로,82,65,57,58,63,146,315,800,953,647,462,521,515,532,502,555,711,825,740,434,311,233,168,110,9805
2024년 06월,문화로,161,121,101,99,129,269,462,754,934,839,849,854,864,846,913,910,"1,011","1,030","1,008",684,565,489,356,222,14470
2024년 06월,배재로,410,300,238,201,253,454,718,995,"1,193","1,199","1,084","1,112","1,133","1,212","1,208","1,234","1,366","1,390","1,403","1,155",988,880,730,516,21372
2024년 06월,벌곡길,90,76,70,77,88,189,388,675,695,636,700,679,657,721,780,807,843,921,822,453,356,237,188,101,11249
2024년 06월,보문로,238,182,144,142,196,387,669,961,"1,069","1,092","1,114","1,079","1,088","1,108","1,134","1,087",989,"1,007",956,777,773,717,542,340,17791
2024년 06월,옥천길,125,103,92,85,125,288,529,916,"1,062",917,912,"1,024","1,042","1,147","1,200","1,203","1,279","1,441","1,308",809,643,444,286,175,17155
2024년 06월,우암로,182,134,108,96,157,331,509,883,"1,078",881,845,869,901,918,922,964,"1,051","1,146","1,146",805,657,572,441,288,15884
2024년 06월,자양로,459,343,258,223,244,435,698,"1,047","1,287","1,269","1,293","1,360","1,355","1,380","1,339","1,396","1,438","1,529","1,479","1,269","1,154","1,023",821,584,23683
2024년 06월,충무로,262,193,156,144,217,414,680,"1,098","1,454","1,323","1,267","1,346","1,375","1,378","1,408","1,421","1,517","1,558","1,515","1,053",963,848,588,368,22546
2024년 06월,가오동길,119,84,67,72,109,234,367,547,717,661,666,633,655,714,740,770,838,909,810,526,451,371,255,170,11485
2024년 06월,대덕대로,557,374,298,285,345,701,"1,338","2,188","2,523","2,451","2,251","2,345","2,285","2,445","2,495","2,634","2,900","3,156","2,839","2,119","1,867","1,574","1,205",766,41941
2024년 06월,도안대로,634,465,336,267,284,356,762,"1,500","1,743","1,586","1,374","1,275","1,246","1,276","1,292","1,325","1,622","1,796","1,408","1,141","1,588","1,433","1,142",821,26672
2024년 06월,도안동로,493,369,287,236,312,643,"1,340","2,175","2,441","2,167","1,918","1,848","1,837","1,966","2,038","2,179","2,337","2,353","2,240","1,653","1,449","1,270",967,659,35177
2024년 06월,도안중로,179,136,116,106,128,220,483,884,"1,150","1,008",984,995,"1,050","1,122","1,126","1,235","1,471","1,468","1,481","1,044",752,626,434,267,18465
