Year,Month,Day,PLC_LTTD,PLC_LGTD,Grid_X,Grid_Y,Grid_ID
2024,6,20,36.363188,127.341817,9,5,30
2024,6,19,36.361265,127.3477629,9,6,31
2024,6,19,36.3651443,127.3383789,9,5,30
2024,6,19,36.3719043,127.3406138,10,5,36
2024,6,19,36.3738357,127.3412357,10,5,36
2024,6,17,36.3667677,127.3176666,9,3,28
2024,6,17,36.364679,127.3380516,9,5,30
2024,6,17,36.3753099,127.3408985,10,5,36
2024,5,30,36.4184857,127.3787951,15,9,76
2024,5,29,36.4457878,127.3853832,17,10,83
2024,5,29,36.4422107,127.3850539,17,10,83
2024,5,29,36.4428103,127.3855016,17,10,83
2024,5,28,36.3602916,127.3443451,9,6,31
2024,5,13,36.3502447,127.3479668,8,6,24
2024,5,13,36.3503694,127.3479733,8,6,24
2024,5,9,36.3403448,127.3126916,7,2,17
2024,5,9,36.3395661,127.304557,7,2,17
2024,5,9,36.3394969,127.3045186,7,2,17
2024,5,9,36.3597807,127.3048398,9,2,27
2024,5,9,36.3633949,127.3412869,9,5,30
2024,5,8,36.3554468,127.3353278,8,5,23
2024,5,8,36.3605154,127.3531771,9,6,31
2024,5,7,36.3797173,127.3429689,11,5,45
2024,5,7,36.3633327,127.3414983,9,5,30
2024,5,7,36.38559,127.3784667,11,9,49
2024,5,7,36.3845918,127.377755,11,9,49
2024,5,7,36.3605806,127.3499523,9,6,31
2024,5,3,36.3710325,127.3271376,10,4,35
2024,5,3,36.3700012,127.3271469,10,4,35
2024,4,30,36.3900401,127.4053208,12,12,61
2024,4,30,36.3562525,127.3422689,8,5,23
2024,4,24,36.341757,127.3388074,7,5,20
2024,4,23,36.360006,127.3280608,9,4,29
2024,4,23,36.3581111,127.331416,9,4,29
2024,4,22,36.374867,127.3296204,10,4,35
2024,4,22,36.3722565,127.3218832,10,3,34
2024,4,22,36.3755037,127.3227745,10,3,34
2024,4,22,36.3714329,127.3235289,10,3,34
2024,4,22,36.3584505,127.3562375,9,7,32
2024,4,19,36.3595886,127.32908,9,4,29
2024,4,19,36.4070087,127.3732129,14,8,70
2024,4,19,36.3939595,127.3503828,12,6,57
2024,3,29,36.3568313,127.3466613,8,6,24
2024,3,28,36.3634859,127.3410776,9,5,30
2024,3,28,36.360928,127.3547032,9,7,32
2024,3,27,36.4652806,127.3965343,19,11,89
2024,3,27,36.4586442,127.3903297,19,10,88
2024,3,27,36.4586255,127.3902565,19,10,88
2024,3,27,36.2955885,127.3215133,2,3,3
2024,3,27,36.2944116,127.3210602,2,3,3
2024,3,27,36.2856584,127.3077602,1,2,1
2024,3,27,36.3545161,127.3388108,8,5,23
2024,3,27,36.3505336,127.3222749,8,3,21
2024,3,27,36.3486033,127.3231306,8,3,21
2024,3,27,36.3486314,127.3232744,8,3,21
2024,3,27,36.3483272,127.324071,8,4,22
2024,3,27,36.3485201,127.3258578,8,4,22
2024,3,26,36.3670986,127.319076,10,3,34
2024,3,26,36.4073273,127.3744373,14,9,71
2024,3,26,36.4441744,127.4033977,17,11,84
2024,3,26,36.4497515,127.4212713,18,13,86
2024,3,26,36.4497782,127.4213387,18,13,86
2024,3,26,36.4498535,127.4215358,18,13,86
2024,3,26,36.4498803,127.4216046,18,13,86
2024,3,26,36.4509668,127.427948,18,14,87
2024,3,26,36.4459118,127.4296444,17,14,85
2024,3,26,36.4436518,127.4334659,17,14,85
2024,3,26,36.4430664,127.4334039,17,14,85
2024,3,26,36.443074,127.4333858,17,14,85
2024,3,26,36.4430078,127.4337313,17,14,85
2024,3,26,36.4434515,127.4335004,17,14,85
2024,3,26,36.4437076,127.4334665,17,14,85
2024,3,26,36.4448579,127.4301487,17,14,85
2024,3,26,36.4448868,127.4300601,17,14,85
2024,3,26,36.4420519,127.4295768,17,14,85
2024,3,26,36.4419786,127.4295673,17,14,85
2024,3,26,36.4421481,127.4284869,17,14,85
2024,3,26,36.4441973,127.4255582,17,14,85
2024,3,25,36.3662209,127.3325207,9,4,29
2024,3,25,36.368572,127.3178383,10,3,34
2024,3,25,36.3797111,127.3160106,11,3,43
2024,3,22,36.37332,127.3308548,10,4,35
2024,3,22,36.3484218,127.3353832,8,5,23
2024,3,15,36.3439915,127.3062637,7,2,17
2024,2,28,36.3633423,127.3563738,9,7,32
2024,2,28,36.3633553,127.3563531,9,7,32
2024,2,28,36.3634022,127.3564505,9,7,32
2024,2,28,36.3634022,127.3564505,9,7,32
2024,2,28,36.3633393,127.3563843,9,7,32
2024,2,28,36.3633393,127.3563843,9,7,32
2024,2,28,36.3633393,127.3563843,9,7,32
2024,2,28,36.3633758,127.3563374,9,7,32
2024,9,20,36.3408826,127.3198701,7,3,18
2024,9,20,36.3050871,127.2942619,3,1,5
2024,9,10,36.3371305,127.3345333,7,5,20
2024,9,6,36.4087304,127.3755045,14,9,71
2024,8,6,36.3624144,127.3561372,9,7,32
2024,8,5,36.364056,127.3558003,9,7,32
2024,8,5,36.369134,127.3504628,10,6,37
2024,8,5,36.3940462,127.3504939,12,6,57
2024,8,5,36.3971543,127.3548409,13,7,64
2024,8,5,36.4119107,127.3779061,14,9,71
2024,8,5,36.4182704,127.3788462,15,9,76
2024,8,5,36.3546954,127.3382101,8,5,23
2024,8,5,36.353136,127.3369673,8,5,23
2024,8,1,36.3848419,127.3785481,11,9,49
2024,8,1,36.3636454,127.3272178,9,4,29
2024,8,1,36.3603685,127.3267128,9,4,29
2024,8,1,36.3604705,127.3031363,9,1,26
2024,8,1,36.3594928,127.3239981,9,3,28
2024,8,1,36.358922,127.3287995,9,4,29
2024,8,1,36.3585989,127.3374559,9,5,30
2024,8,1,36.3595454,127.3429622,9,5,30
2024,7,31,36.3624294,127.3562708,9,7,32
2024,7,31,36.3623864,127.3561796,9,7,32
2024,7,30,36.3585841,127.3371612,9,5,30
2024,7,29,36.4458044,127.3853474,17,10,83
2024,7,29,36.4192753,127.37974,15,9,76
2024,7,25,36.3598648,127.2932792,9,0,25
2024,7,23,36.3042144,127.3203217,3,3,6
2024,7,23,36.3042144,127.3203217,3,3,6
2024,7,23,36.3034721,127.3176269,3,3,6
2024,7,23,36.3025569,127.3156015,3,3,6
2024,7,23,36.3010087,127.3153214,3,3,6
2024,7,23,36.3006165,127.3154704,3,3,6
2024,7,23,36.2997707,127.3157655,3,3,6
2024,7,23,36.299355,127.3159116,3,3,6
2024,7,23,36.2986844,127.3161518,3,3,6
2024,7,23,36.2979338,127.3150333,3,3,6
2024,7,23,36.2983857,127.3157099,3,3,6
2024,7,23,36.2986134,127.316021,3,3,6
2024,7,23,36.2993358,127.3157872,3,3,6
2024,7,23,36.3047175,127.320255,3,3,6
2024,7,23,36.3051794,127.3200677,3,3,6
2024,7,23,36.3110067,127.3174702,4,3,9
2024,7,23,36.3144026,127.3157373,4,3,9
2024,7,23,36.3149986,127.3155018,4,3,9
2024,7,23,36.3201457,127.3136482,5,2,11
2024,7,23,36.3244361,127.3123075,5,2,11
2024,7,23,36.3273335,127.3122078,6,2,13
2024,7,23,36.3297016,127.3129649,6,2,13
2024,7,23,36.3299821,127.3131031,6,2,13
2024,7,23,36.3361049,127.3167407,6,3,14
2024,7,23,36.3486282,127.3267053,8,4,22
2024,7,23,36.3486235,127.3312673,8,4,22
2024,7,23,36.3486235,127.3313473,8,4,22
2024,7,23,36.3486556,127.3335618,8,4,22
2024,7,23,36.3486585,127.3358612,8,5,23
2024,7,23,36.3486706,127.3366655,8,5,23
2024,7,23,36.3486802,127.3371163,8,5,23
2024,7,23,36.3486954,127.3380289,8,5,23
2024,7,23,36.3488061,127.34008,8,5,23
2024,7,23,36.3493848,127.3400517,8,5,23
2024,7,23,36.3575433,127.3427661,9,5,30
2024,7,23,36.3617499,127.3567053,9,7,32
2024,7,22,36.3624017,127.3566568,9,7,32
2024,7,22,36.3625815,127.3565681,9,7,32
2024,7,22,36.3624276,127.3561928,9,7,32
2024,7,22,36.3623562,127.3558128,9,7,32
2024,7,22,36.3607481,127.3541642,9,7,32
2024,7,22,36.3664505,127.3388563,9,5,30
2024,7,22,36.3666444,127.3389231,9,5,30
2024,7,22,36.3717595,127.3322677,10,4,35
2024,7,22,36.3717463,127.3320898,10,4,35
2024,7,22,36.371338,127.3343033,10,5,36
2024,7,22,36.3713166,127.3348578,10,5,36
2024,7,22,36.3717194,127.3350072,10,5,36
2024,7,22,36.3724771,127.3351261,10,5,36
2024,7,22,36.3762196,127.3386853,10,5,36
2024,7,22,36.3761708,127.338887,10,5,36
2024,7,5,36.4260338,127.3861304,15,10,77
2024,7,5,36.4247696,127.3893087,15,10,77
2024,7,5,36.4173268,127.3925418,15,10,77
2024,7,5,36.417348,127.3920276,15,10,77
2024,7,5,36.419045,127.3816008,15,9,76
2024,7,5,36.4122634,127.3782527,14,9,71
2024,7,5,36.3893202,127.344826,12,6,57
2024,7,5,36.3888104,127.3444614,12,6,57
2024,7,5,36.3690262,127.3399345,10,5,36
2024,7,5,36.3667682,127.3178224,9,3,28
2024,7,5,36.3702015,127.3075914,10,2,33
2024,7,5,36.3742684,127.3054428,10,2,33
2024,7,4,36.3609688,127.3443927,9,6,31
2024,7,4,36.3430638,127.3396858,7,5,20
2024,7,4,36.3424997,127.3393408,7,5,20
2024,7,4,36.333173,127.3330209,6,4,15
2024,7,4,36.3319019,127.3329873,6,4,15
2024,7,4,36.3281217,127.3329672,6,4,15
2024,7,4,36.3525198,127.3409494,8,5,23
2024,7,4,36.3957444,127.3561093,12,7,58
2024,5,27,36.3584422,127.3285623,9,4,29
2024,5,27,36.3584593,127.3284702,9,4,29
2024,4,9,36.4023514,127.4049624,13,12,68
2024,4,9,36.3837508,127.4057375,11,12,51
2024,4,1,36.4022822,127.4049634,13,12,68
2024,4,1,36.402017,127.4049643,13,12,68
2024,3,29,36.4266291,127.3902812,15,10,77
2024,3,29,36.4029268,127.4049911,13,12,68
2024,3,29,36.4027533,127.4049766,13,12,68
2024,3,28,36.3875609,127.4126874,12,12,61
2024,3,28,36.4242042,127.4195913,15,13,80
2024,3,28,36.3782141,127.4117965,11,12,51
2024,3,27,36.3453794,127.3104462,7,2,17
2024,3,26,36.3696129,127.3177991,10,3,34
2024,3,26,36.3544711,127.349895,8,6,24
2024,3,26,36.3506871,127.3512544,8,6,24
2024,3,26,36.3505692,127.3520311,8,6,24
2024,3,8,36.358436,127.3348513,9,5,30
2024,3,6,36.361,127.3585,9,7,32
2024,2,28,36.384061,127.4056165,11,12,51
2024,2,28,36.3798687,127.4064632,11,12,51
2024,2,28,36.379809,127.4064281,11,12,51
2024,2,28,36.3784085,127.4056056,11,12,51
2024,2,28,36.3784085,127.4056056,11,12,51
2024,2,28,36.3745471,127.3941237,10,11,40
2024,2,27,36.3524464,127.3408463,8,5,23
2024,2,27,36.3620423,127.3457862,9,6,31
2024,2,26,36.3613952,127.358222,9,7,32
2024,2,26,36.361094,127.358478,9,7,32
2024,2,26,36.361094,127.358478,9,7,32
2024,2,26,36.3604848,127.3588611,9,7,32
2024,2,26,36.3518596,127.3311146,8,4,22
2024,2,26,36.3547853,127.3459129,8,6,24
2024,2,26,36.356549,127.3488122,8,6,24
2024,2,23,36.3696516,127.3269237,10,4,35
2024,2,23,36.387027,127.3163845,12,3,54
2024,2,23,36.3667043,127.3319021,9,4,29
2024,2,23,36.3606478,127.3539029,9,6,31
2024,2,23,36.3606478,127.3539029,9,6,31
2024,2,22,36.3742856,127.3911391,10,10,39
2024,2,22,36.3742856,127.3911391,10,10,39
2024,2,14,36.3881894,127.3332669,12,4,55
2024,2,14,36.3927643,127.3259789,12,4,55
2024,2,14,36.3910328,127.3369848,12,5,56
2024,2,14,36.3941172,127.3446528,12,6,57
2024,2,14,36.3955778,127.3485208,12,6,57
2024,2,14,36.3955099,127.3485887,12,6,57
2024,2,14,36.3954492,127.3486499,12,6,57
2024,2,14,36.3953998,127.3486909,12,6,57
2024,7,3,36.3909688,127.4078729,12,12,61
2024,3,27,36.3792173,127.3914606,11,10,50
2024,3,27,36.3792141,127.3915638,11,10,50
2024,3,27,36.3792151,127.4059778,11,12,51
2024,3,27,36.3793187,127.4060377,11,12,51
2024,3,27,36.4196381,127.4062224,15,12,79
2024,3,27,36.4197228,127.4061367,15,12,79
2024,3,27,36.418896,127.4068522,15,12,79
2024,3,27,36.4154218,127.4069884,14,12,73
2024,3,27,36.4152964,127.4069839,14,12,73
2024,3,27,36.4151682,127.4069794,14,12,73
2024,3,27,36.3857,127.3740912,11,9,49
2024,3,27,36.3911208,127.3943992,12,11,60
2024,3,27,36.3925597,127.3577184,12,7,58
2024,3,25,36.3899565,127.3234034,12,3,54
2024,3,25,36.395202,127.356339,12,7,58
2024,3,25,36.3911762,127.3619431,12,7,58
2024,3,25,36.3894721,127.3626184,12,7,58
2024,3,25,36.3873068,127.3630088,12,7,58
2024,3,25,36.3893356,127.3470274,12,6,57
2024,3,25,36.3901065,127.3990975,12,11,60
2024,3,23,36.3930189,127.3573133,12,7,58
2024,3,23,36.3858781,127.3635219,11,7,47
2024,3,23,36.3910911,127.3947548,12,11,60
2024,3,23,36.391057,127.3950194,12,11,60
2024,3,23,36.3900728,127.3987461,12,11,60
2024,3,23,36.3995845,127.4045237,13,12,68
2024,3,23,36.399643,127.4015971,13,11,67
2024,3,23,36.3996525,127.3987856,13,11,67
2024,3,23,36.3997696,127.3979761,13,11,67
2024,3,22,36.387108,127.3505024,12,6,57
2024,3,22,36.3857303,127.3558174,11,7,47
2024,3,22,36.4208759,127.4039766,15,11,78
2024,3,22,36.4214704,127.4026629,15,11,78
2024,3,22,36.4249112,127.3926129,15,10,77
2024,3,20,36.3922475,127.3587365,12,7,58
2024,3,20,36.3922296,127.3588506,12,7,58
2024,3,20,36.3910881,127.3948549,12,11,60
2024,3,20,36.3848429,127.3510374,11,6,46
2024,3,20,36.3848228,127.3509067,11,6,46
2024,3,20,36.3909886,127.3306357,12,4,55
2024,3,20,36.3910012,127.3305439,12,4,55
2024,3,19,36.3936771,127.3526641,12,6,57
2024,3,19,36.3921808,127.3594782,12,7,58
2024,3,19,36.3855304,127.3726614,11,8,48
2024,3,19,36.3856633,127.3736714,11,8,48
2024,3,19,36.3858314,127.3784389,11,9,49
2024,3,19,36.3911186,127.3948176,12,11,60
2024,3,19,36.3911023,127.3949389,12,11,60
2024,3,19,36.3964324,127.3993717,12,11,60
2024,3,19,36.3964326,127.3994382,12,11,60
2024,3,19,36.3964315,127.4001718,12,11,60
2024,3,19,36.3996514,127.3967203,13,11,67
2024,3,19,36.399652,127.3966426,13,11,67
2024,3,19,36.3996712,127.3952989,13,11,67
2024,3,19,36.4022654,127.3893074,13,10,66
2024,3,19,36.4026827,127.3889824,13,10,66
2024,3,19,36.4047305,127.4032464,13,11,67
2024,3,19,36.4060332,127.4022221,13,11,67
2024,3,19,36.4304734,127.3813687,16,9,81
2024,3,19,36.4305222,127.3813201,16,9,81
2024,3,19,36.4309749,127.3808247,16,9,81
2024,3,19,36.4310294,127.3807634,16,9,81
2024,3,19,36.4311989,127.3806103,16,9,81
2024,3,19,36.4312574,127.3805746,16,9,81
2024,3,19,36.4313738,127.3805199,16,9,81
2024,3,19,36.4314311,127.3804994,16,9,81
2024,3,19,36.4315894,127.3804762,16,9,81
2024,3,19,36.3910241,127.393457,12,10,59
2024,3,7,36.3933696,127.3496206,12,6,57
2024,3,7,36.4292721,127.3837399,16,9,81
2024,3,6,36.4024763,127.3639047,13,7,64
2024,3,6,36.4022745,127.3636913,13,7,64
2024,3,6,36.3906541,127.3241497,12,4,55
2024,3,4,36.4060767,127.4021958,13,11,67
2024,3,4,36.4059062,127.4025676,13,11,67
2024,3,4,36.4057614,127.4028411,13,11,67
2024,3,1,36.4046051,127.4029076,13,11,67
2024,3,1,36.4046051,127.4029076,13,11,67
2024,3,1,36.3896765,127.3486262,12,6,57
2024,3,1,36.3879552,127.3224777,12,3,54
2024,2,29,36.3938585,127.3501996,12,6,57
2024,2,29,36.3938585,127.3501996,12,6,57
2024,2,29,36.3939076,127.350262,12,6,57
2024,2,29,36.3939076,127.350262,12,6,57
